Name,English,Translation,Restrictions,Comment,,,,,,,,
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections,,,,,,,,
_Argument0,{0},{0},,single unlocalised argument,,,,,,,,
_Error,Error: {0},오류: {0},,General error prefix,,,,,,,,
_Language,English,Korean,,Language name - in English,,,,,,,,
_LanguageNative,English,한국어,,Language name in the native language,,,,,,,,
_LanguageCode,en,kr,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB),,,,,,,,
_GameMaker2016,GameMaker Studio 2,GameMaker Studio 2,,IDE title,,,,,,,,
_MANUAL_LOCATION,http://zeus.yoyogames.com/GMS2_English-master.zip,http://zeus.yoyogames.com/GMS2_English-master.zip,,Location of language manual,,,,,,,,
_MANUAL_ONLINE_URL,https://manual-en.yoyogames.com,https://manual-en.yoyogames.com,,online manual url,,,,,,,,
_TUTORIALS_ONLINE_URL,https://www.yoyogames.com/en/tutorials,https://www.yoyogames.com/en/tutorials,,Location of Tutorials url,,,,,,,,
$win_OpenInExplorer,Open In Explorer,탐색기에서 열기,,Windows version of Open In Explorer,,,,,,,,
$win_OpenProjectInExplorer,Open Project In Explorer,탐색기에서 프로젝트 열기,,Windows version of Open Project In Explorer,,,,,,,,
$win_ShowLogFileInExplorer,Open Log In Explorer,탐색기에서 기록 살펴보기,,Windows version of Show Log In Explorer,,,,,,,,
$win_explorer,explorer,탐색기,,windows version of explorer,,,,,,,,
$mac_explorer,finder,Finder,,mac version of explorer,,,,,,,,
$mac_OpenInExplorer,Show In Finder,Finder에서 보기,,Mac version of Open In Explorer,,,,,,,,
$mac_OpenProjectInExplorer,Show Project In Finder,Finder에서 프로젝트 보기,,Mac version of Open Project In Explorer,,,,,,,,
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Finder에서 기록 살펴보기,,Mac version of Show Log In Explorer,,,,,,,,
$linux_explorer,file manager,파일 관리자,,Linux version of explorer,,,,,,,,
$linux_OpenInExplorer,Show In File Manager,Finder에서 보기,,Linux version of Open In Explorer,,,,,,,,
$linux_OpenProjectInExplorer,Show Project In File Manager,Finder에서 프로젝트 보기,,Linux version of Open Project In Explorer,,,,,,,,
